Geo,Year,TotEmp,RetEmp,SvcEmp
3809,2045,153,54,36
3810,2045,681,282,134
3811,2045,652,189,422
3812,2045,59,16,40
3813,2045,11,0,10
3814,2045,18,0,12
3815,2045,18,2,4
3816,2045,18,0,1
3817,2045,304,0,82
3818,2045,17,6,11
3819,2045,27,11,16
3820,2045,8,0,3
3821,2045,6,5,1
3822,2045,377,6,0
3823,2045,3,0,3
3824,2045,10,0,8
3825,2045,5,0,5
3826,2045,371,0,4
3827,2045,103,43,30
3828,2045,6,0,6
3829,2045,169,4,148
3830,2045,185,179,4
3831,2045,17,6,10
3832,2045,204,110,49
3833,2045,41,0,5
3834,2045,865,170,535
3835,2045,69,0,17
3836,2045,1,1,0
3837,2045,35,15,15
3838,2045,55,2,11
3839,2045,916,98,745
3840,2045,2201,954,873
3841,2045,6,3,1
3842,2045,70,15,50
3843,2045,38,27,6
3844,2045,271,87,170
3845,2045,348,10,310
3846,2045,185,7,142
3847,2045,341,19,259
3848,2045,516,312,173
3849,2045,789,423,349
3850,2045,12,0,11
3851,2045,4,0,4
3852,2045,35,9,23
3853,2045,0,0,0
3854,2045,174,112,36
3855,2045,159,0,145
3856,2045,13,1,12
3857,2045,228,3,134
3858,2045,53,6,35
3859,2045,5,0,5
3860,2045,95,76,19
3861,2045,0,0,0
3863,2045,118,16,2
3864,2045,140,0,13
3865,2045,218,10,6
3866,2045,1005,797,204
3867,2045,0,0,0
3868,2045,1122,166,15
3869,2045,1356,717,210
3871,2045,2179,583,688
3872,2045,2352,0,6
3873,2045,1207,25,0
3874,2045,513,402,0
3875,2045,582,111,7
3876,2045,1565,1257,174
3877,2045,10,1,9
3878,2045,0,0,0
3879,2045,42,17,25
3880,2045,19,2,9
3881,2045,0,0,0
3882,2045,858,173,139
3883,2045,83,31,3
3884,2045,31,0,30
3885,2045,12,3,9
3886,2045,16,0,16
3887,2045,93,26,63
3888,2045,7,2,5
3889,2045,0,0,0
3890,2045,0,0,0
3891,2045,20,19,0
3893,2045,0,0,0
3895,2045,84,80,2
3896,2045,0,0,0
3897,2045,10,1,8
3899,2045,28,28,0
3901,2045,272,51,1
3902,2045,414,62,316
3903,2045,146,29,61
3904,2045,262,2,0
3906,2045,411,98,313
3907,2045,68,28,36
3908,2045,52,2,50
3909,2045,3,3,0
3910,2045,0,0,0
3911,2045,10,10,0
3912,2045,10,5,5
3913,2045,4,3,0
3914,2045,0,0,0
3915,2045,6,0,6
3916,2045,19,14,1
3917,2045,0,0,0
3918,2045,0,0,0
3919,2045,3,0,3
3920,2045,12,10,2
3921,2045,78,5,26
3922,2045,344,167,156
3923,2045,833,41,0
3924,2045,1277,420,770
3925,2045,641,79,37
3927,2045,903,372,366
3928,2045,443,193,4
3929,2045,383,169,163
3930,2045,773,487,145
3931,2045,197,7,177
3932,2045,1182,274,641
3933,2045,0,0,0
3934,2045,6,4,0
3935,2045,13,10,2
3936,2045,2,0,1
3937,2045,6,0,0
3938,2045,20,0,20
3939,2045,23,15,8
3940,2045,0,0,0
3941,2045,119,69,16
3942,2045,24,22,2
3943,2045,0,0,0
3944,2045,1,0,1
3945,2045,6,5,1
3946,2045,6,0,6
3947,2045,3,0,3
3948,2045,11,1,10
3949,2045,65,0,45
3950,2045,0,0,0
3951,2045,928,34,894
3952,2045,74,63,10
3953,2045,52,39,13
3954,2045,276,86,131
3955,2045,640,276,291
3956,2045,90,11,79
3957,2045,150,4,33
3958,2045,38,10,16
3959,2045,0,0,0
3960,2045,0,0,0
3961,2045,0,0,0
3962,2045,8,0,7
3963,2045,4,1,3
3964,2045,79,0,7
3965,2045,69,4,65
3966,2045,34,15,1
3967,2045,2,0,2
3968,2045,48,44,4
3969,2045,0,0,0
3970,2045,3,3,0
3971,2045,6,0,0
3972,2045,12,5,0
3973,2045,49,0,49
3974,2045,33,0,33
3975,2045,138,2,4
3976,2045,485,7,237
3977,2045,46,21,25
3978,2045,14,0,14
3979,2045,4,0,4
3980,2045,0,0,0
3981,2045,5,0,5
3982,2045,14,12,0
3983,2045,168,89,71
3984,2045,91,5,56
3985,2045,1,0,1
3987,2045,1,0,1
3989,2045,5,0,3
3990,2045,101,32,1
3991,2045,0,0,0
3992,2045,5,0,4
3993,2045,0,0,0
3994,2045,0,0,0
3995,2045,6,4,2
3996,2045,589,436,138
3997,2045,48,13,20
3998,2045,30,14,12
3999,2045,35,3,32
4000,2045,53,23,24
4001,2045,154,9,135
4002,2045,61,8,50
4003,2045,10,6,3
4004,2045,91,64,17
4005,2045,142,32,102
4006,2045,21,0,20
4007,2045,148,31,117
4008,2045,91,60,28
4009,2045,717,308,384
4010,2045,301,267,33
4011,2045,60,19,38
4012,2045,506,168,110
4013,2045,643,325,301
4014,2045,37,5,32
4015,2045,13,5,3
4017,2045,52,3,34
4018,2045,24,0,3
4019,2045,5,0,3
4020,2045,0,0,0
4021,2045,0,0,0
4022,2045,9,8,1
4023,2045,6,2,4
4024,2045,17,7,9
4025,2045,12,12,0
4026,2045,24,0,24
4027,2045,3,0,0
4028,2045,2,2,0
4029,2045,1,0,0
4030,2045,48,2,9
4031,2045,10,1,9
4032,2045,46,21,21
4033,2045,50,49,1
4034,2045,142,38,82
4035,2045,30,5,23
4036,2045,12,0,5
4037,2045,317,228,27
4038,2045,0,0,0
4039,2045,2,0,2
4040,2045,0,0,0
4041,2045,16,8,6
4042,2045,16,1,0
4043,2045,3,0,3
4044,2045,184,90,57
4045,2045,81,45,24
4046,2045,266,15,103
4047,2045,913,420,230
4048,2045,140,119,21
4049,2045,195,80,106
4050,2045,280,87,184
4051,2045,628,279,274
4052,2045,362,89,219
4053,2045,11,0,7
4054,2045,11,11,0
4055,2045,3,0,3
4056,2045,2,0,0
4057,2045,0,0,0
4058,2045,2,1,0
4059,2045,13,0,9
4060,2045,31,4,27
4061,2045,3,0,3
4062,2045,0,0,0
4063,2045,0,0,0
4064,2045,9,7,2
4065,2045,0,0,0
4066,2045,8,0,7
4067,2045,14,4,1
4068,2045,2,0,2
4069,2045,77,77,0
4070,2045,0,0,0
4071,2045,0,0,0
4072,2045,6,3,3
4073,2045,30,25,5
4074,2045,0,0,0
4075,2045,1,0,0
4076,2045,18,15,3
4077,2045,1,0,0
4078,2045,17,0,2
4079,2045,3,0,3
4080,2045,440,159,268
4081,2045,406,183,84
4082,2045,196,76,56
4083,2045,96,22,23
4084,2045,36,22,12
4085,2045,4403,2922,1119
4086,2045,2743,895,627
4087,2045,1728,165,1383
4088,2045,293,151,127
4089,2045,3668,280,3033
4090,2045,98,49,38
4091,2045,227,22,189
4092,2045,804,434,330
4093,2045,367,324,43
4094,2045,1649,1,1577
4095,2045,7,0,7
4096,2045,268,85,147
4097,2045,1190,260,751
4098,2045,2097,578,1203
4099,2045,307,4,109
4100,2045,1012,731,260
4101,2045,459,13,399
4102,2045,2662,23,2453
4103,2045,316,7,299
4104,2045,6476,2465,3675
4105,2045,4057,1085,2912
4106,2045,1972,500,1463
4107,2045,1115,123,857
4108,2045,2085,1413,596
4109,2045,2396,330,1909
4110,2045,4986,2094,2535
4111,2045,110,16,81
4112,2045,4307,2317,1765
4113,2045,3755,1186,1716
4114,2045,566,120,444
4115,2045,2199,1233,929
4116,2045,1421,765,646
4117,2045,1473,438,707
4118,2045,730,163,539
4119,2045,154,36,66
4120,2045,4164,1403,2390
4121,2045,288,59,221
4122,2045,4027,1008,2637
4123,2045,1946,114,1131
4124,2045,1012,738,231
4125,2045,5683,1374,3404
4126,2045,2794,1484,1268
4127,2045,3158,959,2027
4128,2045,4365,1287,3042
4129,2045,2715,241,2022
4130,2045,157,11,130
4131,2045,1645,573,1039
4132,2045,196,106,53
4133,2045,720,295,408
4134,2045,310,125,182
4135,2045,787,60,718
4136,2045,600,20,69
4137,2045,1302,953,308
4138,2045,969,174,793
4139,2045,1028,221,773
4140,2045,221,22,123
4141,2045,507,243,259
4142,2045,5807,1200,4134
4143,2045,6360,509,5512
4144,2045,5369,653,3958
4145,2045,24142,6617,15660
4146,2045,3922,2584,1277
4147,2045,577,112,122
4148,2045,1038,294,416
4149,2045,80,54,12
4150,2045,2681,1734,678
4151,2045,138,14,86
4152,2045,2305,349,1748
4153,2045,863,410,432
4154,2045,1771,473,324
4155,2045,350,13,150
4156,2045,673,72,562
4157,2045,720,161,422
4158,2045,897,314,170
4159,2045,2103,688,766
4160,2045,1286,236,408
4161,2045,27,24,3
4162,2045,6888,700,5600
4163,2045,1462,604,498
4164,2045,312,236,56
4165,2045,36,21,13
4166,2045,257,32,62
4167,2045,1780,1151,410
4168,2045,155,43,64
4169,2045,0,0,0
4170,2045,27,11,16
4171,2045,950,446,406
4172,2045,774,131,497
4173,2045,533,155,315
4174,2045,799,410,184
4175,2045,606,26,230
4176,2045,1602,597,890
4177,2045,2030,236,1593
4178,2045,582,202,156
4179,2045,1600,472,1073
4180,2045,1046,670,303
4181,2045,577,44,533
4182,2045,79,19,36
4183,2045,49,3,38
4184,2045,337,44,226
4185,2045,3,0,3
4186,2045,13,4,9
4187,2045,14,0,12
4188,2045,107,6,15
4189,2045,327,128,135
4190,2045,14,6,5
4191,2045,263,184,70
4192,2045,14,0,14
4193,2045,8,0,8
4194,2045,101,0,76
4195,2045,5,0,5
4196,2045,3,0,3
4197,2045,612,90,437
4198,2045,688,356,296
4199,2045,204,106,82
4200,2045,2571,1195,1218
4201,2045,221,168,46
4202,2045,113,31,53
4203,2045,899,668,190
4204,2045,994,572,378
4205,2045,321,102,154
4206,2045,381,132,140
4207,2045,521,226,231
4208,2045,844,259,358
4209,2045,35,11,8
4210,2045,73,3,66
4211,2045,886,224,492
4212,2045,72,15,50
4213,2045,1579,239,1016
4214,2045,971,303,602
4215,2045,1187,637,320
4216,2045,302,174,127
4217,2045,1024,153,512
4218,2045,74,21,40
4219,2045,668,28,29
4220,2045,838,475,245
4221,2045,1485,388,990
4222,2045,902,319,475
4223,2045,672,100,522
4224,2045,1804,536,760
4225,2045,596,67,474
4226,2045,541,159,176
4227,2045,477,252,172
4228,2045,1127,414,509
4229,2045,99,21,11
4230,2045,249,116,104
4231,2045,164,4,150
4232,2045,31,3,27
4233,2045,14,0,14
4234,2045,22,16,6
4235,2045,587,275,281
4236,2045,286,118,147
4237,2045,178,145,33
4238,2045,186,6,168
4239,2045,43,19,22
4240,2045,654,123,461
4241,2045,17,1,16
4242,2045,397,142,224
4243,2045,1186,391,731
4244,2045,656,143,438
4245,2045,1059,628,375
4246,2045,484,184,280
4247,2045,1052,438,358
4248,2045,1022,351,412
4249,2045,510,217,261
4250,2045,446,97,289
4251,2045,1444,114,1269
4252,2045,940,244,632
4253,2045,3032,599,2321
4254,2045,350,164,181
4255,2045,35,2,23
4256,2045,488,71,314
4257,2045,64,23,38
4258,2045,625,399,170
4259,2045,0,0,0
4260,2045,0,0,0
4261,2045,36,9,10
4262,2045,100,1,93
4263,2045,22,4,8
4264,2045,7,0,7
4265,2045,134,114,20
4266,2045,13,4,4
4267,2045,48,22,11
4268,2045,48,19,28
4269,2045,102,3,97
4270,2045,0,0,0
4271,2045,1196,408,604
4272,2045,805,505,178
4273,2045,854,512,329
4274,2045,11,1,10
4275,2045,40,14,26
4276,2045,1181,537,453
4277,2045,148,16,96
4278,2045,485,92,343
4279,2045,1429,617,552
4280,2045,1676,901,632
4281,2045,1899,989,564
4282,2045,760,379,342
4283,2045,1937,208,503
4284,2045,1383,456,581
4285,2045,2537,770,1414
4286,2045,1713,432,803
4287,2045,3314,823,2289
4288,2045,642,280,321
4289,2045,268,17,248
4290,2045,1310,443,711
4291,2045,893,326,531
4292,2045,1368,1186,176
4293,2045,5315,846,4404
4294,2045,635,220,411
4295,2045,518,396,108
4296,2045,594,164,240
4297,2045,65,21,37
4298,2045,258,133,80
4299,2045,1964,131,1128
4300,2045,1117,786,258
4301,2045,1591,1131,313
4302,2045,3024,670,827
4303,2045,496,121,319
4304,2045,1037,512,440
4305,2045,661,377,170
4306,2045,1412,879,306
4307,2045,1800,914,668
4308,2045,1658,877,619
4309,2045,1502,650,830
4310,2045,2024,1543,399
4311,2045,1005,362,621
4312,2045,1983,1784,185
4313,2045,1245,315,811
4314,2045,282,24,116
4315,2045,64,10,35
4316,2045,106,16,90
4317,2045,45,3,33
4318,2045,178,45,118
4319,2045,181,8,119
4320,2045,411,238,159
4321,2045,241,64,173
4322,2045,41,12,17
4323,2045,383,15,86
4324,2045,130,46,16
4325,2045,173,34,109
4326,2045,752,82,41
4327,2045,96,22,22
4328,2045,412,270,83
4329,2045,775,110,622
4330,2045,158,7,142
4331,2045,221,28,135
4332,2045,27,13,14
4333,2045,203,146,55
4334,2045,955,271,646
4335,2045,451,214,215
4336,2045,11,11,0
4337,2045,0,0,0
4338,2045,5,0,1
4339,2045,119,97,22
4340,2045,20,15,3
4341,2045,70,0,70
4342,2045,105,23,80
4343,2045,509,115,309
4344,2045,113,13,62
4345,2045,419,149,20
4346,2045,273,0,97
4347,2045,1019,48,365
4348,2045,7,4,0
4349,2045,97,39,25
4350,2045,102,21,9
4351,2045,24,5,15
4352,2045,278,21,229
4353,2045,44,13,23
4354,2045,71,17,28
4355,2045,80,17,8
4356,2045,562,72,24
4357,2045,809,107,433
4358,2045,725,1,60
4359,2045,58,3,5
4360,2045,968,92,654
4361,2045,3395,265,1480
4362,2045,1065,99,349
4363,2045,2994,198,991
4364,2045,779,703,43
4365,2045,793,64,271
4366,2045,505,303,159
4367,2045,77,30,19
4368,2045,334,2,7
4369,2045,454,121,312
4370,2045,49,14,33
4371,2045,528,132,359
4372,2045,146,31,19
4373,2045,148,79,44
4374,2045,39,5,25
4375,2045,24,7,13
4376,2045,401,36,314
4377,2045,72,0,24
4378,2045,329,216,89
4379,2045,55,8,12
4380,2045,47,25,18
4381,2045,194,11,101
4382,2045,562,386,158
4383,2045,218,99,99
4384,2045,463,208,151
4385,2045,600,178,378
4386,2045,382,160,153
4387,2045,468,101,289
4388,2045,477,102,323
4389,2045,2220,1648,559
4390,2045,258,28,184
4391,2045,1242,782,395
4392,2045,43,7,14
4393,2045,63,3,5
4394,2045,108,1,22
4395,2045,53,0,22
4396,2045,13,3,9
4397,2045,33,0,19
4398,2045,125,41,19
4399,2045,12,5,7
4400,2045,70,30,26
4401,2045,5,1,4
4402,2045,61,23,18
4403,2045,139,60,25
4404,2045,192,2,190
4405,2045,201,86,30
4406,2045,39,9,22
4407,2045,1133,93,442
4408,2045,1088,325,468
4409,2045,291,157,114
4410,2045,301,129,98
4411,2045,47,11,0
4412,2045,1072,333,629
4413,2045,505,472,33
4414,2045,60,48,5
4415,2045,89,86,2
4416,2045,23,16,7
4417,2045,5,1,4
4418,2045,38,25,13
4419,2045,215,163,52
